domain	subdomain	ko_KR	en_XX
디스플레이 제조용 기계 제조업	청구항	하기 식 (1) 로 나타내는 구조를 갖는 디아민으로부터 얻어지는 중합체와, 유기 용매를 함유하는 것을 특징으로 하는 액정 배향제.[화학식 1][이미지](R1 은 수소, 불소 원자, 시아노기, 하이드록시기, 또는 1 가의 유기기를 나타내고, * 는 다른 기에 결합되는 부위를 나타낸다. 벤젠고리의 임의의 수소 원자는 1 가의 유기기로 치환되어 있어도 된다.)	A kind of aligning agent for liquid crystal, which is characterized in that contain：it is obtained as the diamines with structure shown in following formula (1) poly- close object；with, organic solvent,r1indicate that the organic group of hydrogen, fluorine atom, cyano, hydroxyl or monovalence, * indicate the position for being bonded to other groups, phenyl ring organic group of any hydrogen atom optionally by monovalence replaced.
위해식품정보	가공식품	후자의 최적 성장 벤틀리, 스넬 및 일립스는 'rABLE 4'로 망간의 미생물학적 분석을 고안했다.	The latter optinmal growth Bentley, Snell, and I'hillips devised a miicrobiological assay of manganese with 'rABLE 4.
문화	공연	중국 동북쪽에 거주하는 소수민족에벤키족의 기원 신화는 다음과 같다.	The original myth of the Evenki, a minority ethnic group living in northeastern China, is as follows.
ICT	통신	선택기(23)는 상기 제1그룹 또는 상기 제2그룹을 선택한다(S20).	The selector 23 selects the first group or the second group (S20).
edu_notice	가정통신문	두려움의 원인을 이해하고 받아들이는 데서 진로 동기를 찾을 수 있습니다.	Career motivation can be found in understanding and accepting the causes of fear.
세계	국제기구	영국의 유럽연합(EU) 탈퇴 결정을 계기로 EU의 비효율성과 신뢰감 상실이 도마 위에 오른 가운데 EU가 작년 한 해 동안 55억 유로(60억 달러·6조9천억 원 상당)의 예산을 잘못 집행했다고 유럽회계감사원(ECA)이 13일 밝혔다.	The EU has wrongly executed a budget of 5.5 billion euros (worth $6 billion, 6.9 trillion won) over the past year, the European Accounting Inspectorate (ECA) said on 13 March, as the EU's inefficiencies and loss of confidence were on the chopping end in the wake of Britain's decision to leave the European Union (EU).
경제	경제경영	금융, 문화 등 고부가가치 서비스업에 대한 R&D 투자를 확대하여 서비스업의 고부가가치화, 고도화에 노력해야 한다.	Efforts should be made to improve and enhance the value-added service industry by expanding R&D investment in high value-added service industries such as finance and culture.
해외영업	도소매유통	떡의 세계화를 위해 설기떡 위주의 제품을 수출중입니다.	For the globalization of rice cakes, we are exporting Seolgi rice cakes-oriented products.
교육	에듀테크	교수자는 기본적으로 숙달목표 지향적인 교육환경을 제공하고 학생들이 수행접근 방식을 취할 수 있는 과제와 교육 환경을 만들어 나가야 한다.	Instructors should provide a mastery goal-oriented educational environment and create a task and educational environment in which students can take a performance approach.
교육	대학교육	부분적으로 한국인 교수를 더 선호하는 것으로 나타났다.	In part, it turned out that they prefer Korean professors.
관광	여행	이 영화는 강릉에서 벗어나려는 현지인과 강릉에 애정을 가진 외지인과의 사랑 이야기를 그리고 있다.	This film depicts a love story between a local who wants to escape from Gangneung and a foreigner who has affection for the city.
글로벌동향정보	건강식품류	셀레늄의 첨가가 GBT 대사에 영향을 미치지 않았다.	The addition of selenium had no effect on GBT metabolism.
일상생활	음식	아니, 그러면 단도직입적으로 장훈이는 왜 누구를 안 만나거나 항상 재혼주의자 입장에서 재혼을 빨리 했으면 좋겠는데 아이에 대한 어떤 그것도 있고 생각도 있고 그런데 왜 못 하는 것 같아요?	Then, Jang-hoon wants to get remarried quickly, but honestly, why can he do that?
위해식품정보	농산물	식물은 매일 물을 주고 비료는 일주일에 한 번 주었다.	The plants were watered daily, and fertilizer was applied once a week.
해외고객과의채팅	연구개발,과학기술	예, 우리는 새로운 회사이지만 우리 제품은 최고 수준입니다.	Yes, we are a new company, but our top-notch products.
뉴스	지역,전북	전주시가 휴대용 라돈측정기로 현장조사를 실시한 결과, 45평형(148㎡) 안방화장실 상판 선반에서 2462∼3696베크렐(㏃/㎥)이었고, 같은 평수의 공용화장실에서는 2604베크렐의 라돈이 검출됐다.	According to a field survey conducted by the Jeonju City with a portable radon measuring device, 2,462 to 3,696 becquerels of radon were detected on the top shelf of the 45-pyeong (148 square meters) toilet in the main room, and 2,604 becquerels were in a common bathroom of the same square meters.
전기회로 개폐, 보호 장치 제조업	제목	디지털 보호 계전기의 로컬 모니터링 장치, 모니터링 시스템 및 방법	Local monitoring apparatus, monitoring system and method of digital protective relay
구어체	구어체	이것들은 BB님이 얘기해주신 것이고 저도 동의합니다.	These are what BB said and I agree with them.
교육	평생교육	이들 연구들은 직장에 대한 전반적인 만족보다는 경력 만족과 직무 만족에 집중되어 있음을 알 수 있다.	It can be seen that these studies are focused on career satisfaction and job satisfaction rather than overall satisfaction with the workplace.
ICT	컴퓨터	전술한 바와 같이, 무선 통신은 옵션적으로 복수의 통신 표준, 프로토콜 및 기술 중 임의의 것을 사용한다.	As mentioned above, wireless communication optionally uses any of a plurality of communication standards, protocols and technologies.
기계	동력기관	상기 배기관고정부(42)는 배기관(22)의 일단이 리어케이스(40) 내측으로 일부 삽입되게 형성된다.	The exhaust pipe fixing part 42 is formed such that one end of the exhaust pipe 22 is partially inserted into an inner side of the rear case 40.
관광	관광학	해마다 겪고 있는 취업난으로 대학입시를 앞둔 학생들은 학교의 전공을 선택할 때 본인의 적성이나 자질과는 무관하게 그 학과의 취업률만을 고려하여 전공을 선택하는 경우가 허다하다.	Students who are about to enter college because of the difficulties they face every year often choose a major by considering only the employment rate of that department, regardless of their aptitude or qualifications.
지자체웹사이트	경기도	기업을 중심으로 지원을 하는 정도만으로도 할 일이 많고 역할을 많이 하는게 아닌가 한다.	I think that there are many work to do and many roles just by supporting businesses in priority.
구조용 금속 판제품 및 공작물 제조업	청구항	a)구멍의 크기를 소정의 균일한 직경까지 확대하고; b)오염을 제거하기 위해 상기 확대된 구멍의 벽을 제공하고; c)상기 확대된 구멍에, 오염의 제거로 제공되고, 상기 확대된 구멍의 예정된 직경보다 0.0005-0.004인치 작은 균일한 직경을 갖고, 상기 확대된 구멍의 끝위로 연장된, 금속 합금과 유사한 물질로 구성되고 유사한 열처리를 갖는 플러그를 배치시키고; 및 d)상기 플러그 끝에 힘을 적용시키면서, 상기 플러그의 변형, 연화, 금속 흐름, 및 상기 플러그 및 상기 벽의 결합을 야기시키는 온도까지 상기 플러그 및 상기 확대된 구멍의 벽을 국부적으로 가열하는 단계를 포함하는 금속 합금 지지체내 구멍의 수리방법.	A method for the repair of a damaged area in a metal alloy substrate including the steps of:a) enlarging the damaged area to a cylindrical hole passing through said substrate, said hole having a predetermined uniform diameter;b) preparing the walls of said hole to remove contamination;c) positioning in said hole a cylindrical plug comprising a material similar to said metal alloy and having a similar heat treatment, said plug having been prepared by removal of contamination, and being of a uniform diameter from 0.0005 to 0.004 inches less than the predetermined uniform diameter of said hole, and extending beyond the ends of said hole; andd) applying a force to the ends of said plug, while locally heating said plug and the walls of said hole to a temperature which causes deformation and softening of said plug, metal flow, and formation of a bond-line interface between said plug and said walls.
edu_notice	가정통신문	자녀의 진로를 고민하고 미리 대비하는 한발 앞선 학부모님들의 많은 관심과 참여 부탁드립니다.	We ask parents to pay a lot of attention and participate in preparing for their children's careers.
ICT	빅데이터	이러한 가치사슬 하에서 방송의 공익성은 다음 <표 2>와 같이 분화하고 있다고 제시하였다.	It is suggested that the public interest in broadcasting is differentiated as shown in Table 2 under this value chain.
일상생활	음식	다이어트와 당뇨병의 관계에 대한 이야기였어요.	It was about the relationship between diet and diabetes.
의약용 화합물 및 항생물질 제조업	제목	중간쇄 모노글리세리드를 함유한 소수성 조제	Hydrophobic preparations contg. medium chain monoglycerides
해외고객과의채팅	도소매유통	더 필요하신 부분이 있으시면 바로 답장 부탁드립니다.	If you need anything else, please reply right away.
구어체	구어체	아무리 흰색 물감을 많이 넣어도 검은색이 흰색이 되진 않아.	No matter how much you add white paint, it does not make black into white.
sports	스포츠	마하티르 모하맛 말레이시아 총리가 아시안게임 남자축구 조별리그 경기에서 한국을 꺾은 말레이시아 23세 이사(U-23) 축구대표팀 선수에게 축하메시지를 전했다.	Malaysian Prime Minister Mahathir Mohamad sent a congratulatory message to players of Malaysia's national football team over 23-year-old (U-23) who beat South Korea in the men's football group match of the Asian Games.
해외영업	연구개발,과학기술	로봇의 사용은 생산 비용을 크게 줄였다.	The use of robots has significantly reduced the cost of production.
My underground art explorations	TED	이 사진은 1885년에 설립된 1,100명의 규모의 노숙자 시설 지하에서 촬영한 것입니다. 기차를 타고 가다 우연히 이 곳을 발견하고는, 바로 다음 역에서 내려 거기 있던 사람들을 만나봤죠. 그분들이 저를 지하에 있는 납골당 같은 곳으로 안내해 주시더군요. 그 지하실은 한 때 전쟁 중엔 무기 저장고였다가 나중에는 유대인들의 피난처로도 쓰이기도 했대요. 이것은 프랑스 파리에 있는 실제 납골당입니다. 출입 제한지역까지 겁도없이 구석구석을 다 뒤져봤죠. 안 좋아할 수가 없는 곳이더군요.	This was taken under a homeless asylum built in 1885 to house 1,100 people. I saw the structure while I was on the train, and I got off at the next station and met people there that gave me access to their catacomb-like basement, which was used for ammunition storage during the war and also, at some point, to hide groups of Jewish refugees. This is the actual catacombs in Paris. I explored there extensively in the off-limits areas and fell in love right away.
뉴스	경제,부동산	현실화율이 시장 예측보다 보수적인 수준으로 발표된데다 고가, 중저가, 저가 주택별로 부담 정도가 상이해 즉각적인 매매 결정도 쉽지 않다.	It is not easy to make an immediate decision on the sale because the actualization rate has been announced at a more conservative level than the market forecast, and the burden varies from high-priced to medium-priced and low-priced houses.
법률	판례	대출한도 규정을 회피하고자 피고를 비롯한 가족, 친인척 및 하청업체 직원 등의 명의를 빌려 대출을 받은 것이다.	To circumvent the loan limit regulations, they borrowed the names of the defendant, family members, relatives, and subcontractor employees.
해외영업	도소매유통	저희 상환 연체로 인해서 귀사에 큰 영향이 없기를 바랍니다.	We hope that the delinquency of our repayment will not have a significant impact on your company.
비메모리용 및 기타 전자집적회로 제조업	초록	영상 코딩 장치는 비-4:4:4 크로마 포맷으로 포착된 영상을 운반하는 영상 비트스트림을 수신할 수 있다. 팔레트 모드는 영상 비트스트림을 디코딩하기 위해 사용될 수 있다. 영상 비트스트림은 현재 블록에 대하여 4:4:4 크로마 포맷으로 팔레트 테이블 및 팔레트 인덱스 맵을 정의하는 데이터를 포함할 수 있다. 비-4:4:4 크로마 포맷의 루마 샘플 위치에 대한 루마 샘플 값은 루마 샘플 위치, 팔레트 인덱스 맵 및 팔레트 테이블에 기초하여 결정될 수 있다. 팔레트 인덱스 맵에서 4:4:4 크로마 포맷과 연관된 크로마 샘플 위치는 비-4:4:4 크로마 포맷에서 크로마 성분 대 루마 성분 해상도율에 기초하여 도출될 수 있다. 비-4:4:4 크로마 포맷에서 크로마 샘플 위치에 대한 크로마 샘플 값은 도출된 크로마 샘플 위치, 팔레트 인덱스 맵 및 팔레트 테이블에 기초하여 결정될 수 있다.	A video coding device may receive a video bit-stream that carries a video captured in a non-4: 4:4 chroma format. A palette mode may be used to decode the video bit-stream. The video bit-stream may include data defining a palette table and a palette index map in a 4:4:4 chroma format for the current block. A luma sample value for a luma sample position in the non-4:4:4 chroma format may be determined based on the luma sample position, the palette index map and the palette table. A chroma sample position associated with the 4:4:4 chroma format on the palette index map may be derived based on the luma component to chroma component resolution ratio in the non-4 :4:4 chroma format. A chroma sample value for a chroma sample position in non-444 chroma format may be determined based on the derived chroma sample position, the palette index map and the palette table.
경제	경제일반	미래 연구는 다양한 지역과 업종을 고려하여 경험적 연구를 해야 할 것이다.	Future research will have to do empirical research in consideration of various regions and industries.
해외고객과의채팅	연구개발,과학기술	첨가당을 줄이면 심장질환과 관련된 체중 증가 및 지방 축적을 예방하는 데 도움이 됩니다.	Reducing added sugar helps prevent weight gain and fat accumulation related to heart disease.
일상생활	음식	아, 누구일까.	Oh, who could it be?
뉴스	문화,방송_연예	찬 바람이 솔솔 부는 이 가을, 고소하고 달달한 케이크를 만들어 따뜻한 차 한 잔과 함께 나눠 보자.	This autumn, when the cold wind blows, let's make a sweet and savory cake and share it with a hot cup of tea.
위해식품정보	농산물	이전 조사에서는 대부분의 탈질균 분리주가 NO3-를 감소시키는 능력이 부족하다는 사실이 입증되었다.	Previous investigations have demonstrated that the majority of denitrifying fungal isolates lack the capacity to reduce NO3−.
해외영업	연구개발,과학기술	국가 또는 하위 단위는 종종 재산세, 상속세, 유산세, 증여세, 재산세, 판매세, 사용세, 급여세, 관세 및/또는 관세를 부과합니다.	Countries or subunits often also impose wealth taxes, inheritance taxes, estate taxes, gift taxes, property taxes, sales taxes, use taxes, payroll taxes, duties and/or tariffs.
의학	가정의학	전세계적으로 청년 고용이나 주거 문제가 심화되고 있다.	Youth employment and housing problems are intensifying around the world.
뉴스	문화,학술_문화재	이전과 해체의 과정은 더욱 진중한 여론수렴과정이 필요하다.	The process of relocation and dissolution requires a more serious process of collecting public opinion.
sports	스포츠	2015년 신인왕을 차지한 뒤 2016년 첫 우승을 신고했지만 이후 2년 6개월, 짧지 않은 시간동안 마음 고생이 심했다.	After winning the Rookie of the Year award in 2015, he reported his first win in 2016, but he suffered a lot for two and a half years, which was not a short time.
law	대법원판례	국민참여재판에서 배심원이 만장일치의 의견으로 내린 무죄의 평결이 재판부의 심증에 부합하여 그대로 채택된 경우, 증거의 취사 및 사실의 인정에 관한 제1심의 판단을 항소심에서 뒤집을 수 있는지 여부(원칙적 소극)	Whether the first trial's judgment on the preparation of evidence and the recognition of facts can be overturned in the appeal if the verdict of acquittal by the unanimity in the people's participation trial was adopted in accordance with the court's verdict (negative in principle)
기후	기후	심뇌혈관질환 및 호흡기질환에는 고혈압, 당뇨병, 협심증, 심장발작, 기타 심장질환, 폐기종, 만성 기관지염, 만성폐쇄성폐질환, 천식을 포함하였다.	Cardiocerebrovascular disease and respiratory disease included hypertension, diabetes, angina pectoris, heart attack, other heart diseases, emphysema, chronic bronchitis, chronic obstructive pulmonary disease, and asthma.
뉴스	문화,요리_여행	매년 시기에 맞춰 눈꽃축제, 맥주축제 등이 개최된다.	Snow flower festivals and beer festivals are held in time for each year.
ICT	통신	이에 따르면, 정규 교육과정에 초등영어가 도입된 1997년에 100편 미만을 돌파한 이 후 약간의 증감을 거듭했으나, 매년 300편 이상을 나타 내고 있다.	According to this, the number increased slightly after exceeding less than 100 in 1997, when elementary English was introduced into the regular curriculum, but it shows more than 300 every year.
법률	세법	동조 제3 a조 제4항 제3호에 따라 변호사, 변리사, 세무사, 세무대리인, 공인회계사, 전문가 등의 직역 서비스나 자문용역이 제3국에 주소를 두 고국으로 정하고 있기에 독일의 부가가치세는 과세되지 않는다.	Germany's VAT is not taxable because direct translation services or advisory services of lawyers, lawyers, tax accountants, tax agents, certified public accountants, experts, etc., have addresses in third countries under Article 3a (4), subparagraph 3 of the agreement.
해외고객과의채팅	숙박,음식점	참고하시고 프린터를 사용하시면 이러한 문제가 일어나는 것을 방지할 수 있으실 거에요.	Note that you can avoid this problem by using a printer.
세계	사회_환경	앙겔라 메르켈 독일 총리와 에마뉘엘 마크롱 프랑스 대통령, 보리스 존슨 영국 총리 등은 대변인 성명을 통해 보우소나루 정부의 환경정책을 공개적으로 질타했다.	Through spokesperson statements, German Chancellor Angela Merkel, French President Emmanuel Macron, and British Prime Minister Boris Johnson all publicly criticized the Bolsonaro government's environmental policies.
정치	정치일반	경찰 담당 기자들이 경비 관계자나 홍보 담당 부서 근무자들에게 집회 참가 인원에 대한 경찰 추산 수치를 물어 이를 `경찰청 발표` 또는 `경찰 관계자에 따르면`이라는 형태로 기사화 하는 것이다.	Police reporters ask security officials or officials in the public relations department about the police estimate of the number of people attending the rally and report it in 'Announced by the National Police Agency' or 'According to a police officer.'
교육	평생교육	중도·중복장애학생의 개별적인 요구에 맞추어진 진로·직업교육 계획이 무엇보다도 중요하다.	Career and vocational education plans tailored to the individual needs of students with moderate/duplicate disabilities are of utmost importance.
정치	정치일반	자치 경찰 사무의 구분은 자치 경찰제의 출발점으로서 중요한 의미를 가지는 것은 분명하나, 현재와 같은 국가경찰 조직 하에서 자치 경찰 사무를 구분하는 것은 용이한 일이 아닌 동시에, 다분히 입법정책적 성격이 크다.	Although it is clear that the distinction between autonomous police affairs has important implications as a starting point for the autonomous police system, it is not easy to distinguish autonomous police affairs under the current national police organization, but at the same time, it is of a sizeable legislative policy nature.
전기	배터리	이때, 상기 식각 마스크(30)는 제3 식각 홈(30a) 및 제4 식각 홈(30b)을 포함한다.	In this case, the etching mask 30 includes a third etched groove 30a and a fourth etched groove 30b.
경제	경제경영	본 연구는 최근의 인적자원개발 논의를 반영하여 산업인력 양성을 위한 새로운 전략적 접근을 모색하였다.	This study sought a new strategic approach to fostering human resources in reflection of the recent discussions on human resource development.
뉴스	미분류	대구-서울 구간은 오후 8시, 대전-서울과 울산-서울 구간은 각각 오후 9시 이후에 출발하는 편이 양호할 것으로 보인다.	It seems like for the Daegu-Seoul section, 8 p.m., for the Daejun-Seoul section and Ulsan-Seoul section, 9 p.m. will be a favorable time to depart.
대화체	비즈니스	그냥 출장보고서나 지출결의서를 작성하면 어느 정도 되지 않을까요?	Wouldn't it be okay to just write up a business trip report or a disbursement document?
경제	경제일반	이는 미래의 기술 특화 여부는 현재의 기술 특화 여부에 영향을 받는 경로 의존적인 면을 가지고 있음을 의미한다.	This means that future technology specialization has a path-dependent aspect that is affected by current technology specialization.
일상생활	음식	생선구이는 아주 맛있게 먹습니다!	Fish is very delicious to eat!
해외영업	도소매유통	쿠션 칼라, 웰트 부분에 대조적인 스티치, 질감이 있는 고무 밑창이 특징인 가죽 레이스 업 슈즈입니다.	These leather lace-up shoes feature a cushioned collar, contrasting stitching on the welt and a textured rubber sole.
디스플레이 제조용 기계 제조업	청구항	관찰자측에 형성되는 제 1 편광판과 배면측에 형성되는 제 2 편광판 사이에 액정 셀을 구비하는 액정 표시 패널과, 상기 액정 표시 패널을 배면측에서 조명하는 면광원 장치를 구비하고,상기 면광원 장치는, 광원부와 ; 상기 광원부로부터의 광을 상기 광원부에 대향하는 입광면으로부터 입사시키고, 상기 액정 표시 패널과 대향하는 출광면으로부터, 광의 도광 방향과 대략 평행한 면내에 있어서 상기 출광면의 법선 방향으로부터 소정의 각도를 이루는 방향에 최대 강도의 지향성을 갖는 편광광을 출사하는 도광판을 구비하고,상기 제 2 편광판은, 흡수형 편광자를 포함하는 편광부와 ; 상기 편광부의 도광판측에 배치되고, 상기 도광판측에 볼록한 주상의 단위 프리즘이 복수 배열된 프리즘부를 구비하고,상기 도광판으로부터 출사되는 편광광은, 상기 출광면의 법선 방향을 극각 90°, 상기 도광판의 도광 방향을 방위각 0°- 180°방향으로 했을 때, 극각 50°∼ 80°또한 방위각 135°∼ 225°, 그리고 0°∼ 45°및 315°∼ 360°의 범위에 있어서의 출사광의 적분 강도 La 와, 전체 출사광의 적분 강도 Lt 의 비 La/Lt 가 0.3 이상인, 액정 표시 장치.	A liquid crystal display apparatus, comprising: a liquid crystal display panel comprising a liquid crystal cell between a first polarizing plate provided on a viewer side and a second polarizing plate provided on a back surface side; and a surface light source device for illuminating the liquid crystal display panel from the back surface side, wherein the surface light source device comprises: a light source unit; and a light guide plate for causing light from the light source unit to enter from a light incident surface opposed to the light source unit, and for outputting polarized light from a light output surface opposed to the liquid crystal display panel, the polarized light having directivity of maximum intensity in a direction that forms a predetermined angle from a normal direction of the light output surface in a plane approximately parallel to a light guiding direction of the light, wherein the second polarizing plate comprises: a polarizing portion comprising an absorptive polarizer; and a prism portion arranged on a light guide plate side of the polarizing portion, the prism portion comprising a plurality of columnar unit prisms arrayed so as to protrude on the light guide plate side, and wherein, in the polarized light output from the light guide plate, when the normal direction of a light output surface is defined to be at a polar angle of 90°, and the light guiding direction of the light guide plate is defined to be a direction of an azimuth angle of 0°-180°, a ratio La/Lt of integrated intensity La of output light in ranges where the polar angle is 50° to 80° and the azimuth angle is 135° to 225°, 0° to 45°, and 315° to 360° to integrated intensity Lt of total output light is 0.3 or more.
해외영업	도소매유통	당사 영업 담당자가 조명 요구 사항에 따라 견적을 제공해 드립니다.	Our sales rep will provide you with a quotation based on your lighting needs.
경제	경제경영	이러한 수요 측면의 대체성을 평가하기 위해 가장 널리 사용되는 방법이 SSNIP 검증이다.	SSNIP verification is the most widely used method to evaluate the substitutability of this demand side.
기계	의공학	이 때, 단계(S211)는 사용자에 부착된 복수개의 관성 센서(10)들로부터 측정 신호를 수신할 수 있다.	In this case, step S211 may receive a measurement signal from a plurality of inertial sensors 10 attached to the user.
조례	광진구 조례	통합지출관은 제18조에 의하여 각 과 및 관서에서 제출한 세출예산월별지출계획서와 예산담당과장이 통지하는 세출예산월별 분기별배정계획서를 기초로 하여 세출예산월별자금지출종합계획서(별지 제40호서식)를 작성하여 구청장의 결재를 받아 이를 각 과장 및 관서의 장에게 통지하여야 한다.	The joint disbursement official shall prepare the comprehensive monthly funds spending plan by expenditure budget (attached Form 40) based on the monthly spending plan by expenditure budget submitted by the respective departments and government agencies under Article 18 and the monthly and quarterly allocation plan of expenditure budget, announced by the budget manager, and notify the chief of each section and the each head of the government offices after obtaining approval from the head of the Gu.
예술	음악	이러한 목적을 따라가면서 이 글은 밀접하게 관련된, 그러나 다소간 부차적인 목적도 가지고 있다.	In keeping with this purpose, this article also has a closely related but somewhat secondary purpose.
의학	병리학	다음날 의식 저하는 회복되었으나 구음 장애가 지속되어 재방문하였고, 전일 아주까리 끓인 물을 마신 사실이 확인되었다.	The next day, the increasing loss of consciousness was recovered, but dysarthria persisted therefore the visit was revisited.
travel	관광	이날 박서진은 히트곡 '밀어밀어'를 장구 연주와 함께 선보이며 화려한 오프닝을 책임졌다.	"On this day, Park Seo-jin performed his hit song ""Push Push"" with a janggu performance, taking charge of the spectacular opening."
ICT	통신	사용자 피드백이 중요하며, 사용자 참여를 통해 진정 한 공간의 가치를 창출하는 것이 중요하다.	User feedback is important, and it is important to create real space value through user participation.
시멘트, 석회 및 플라스터 제조업	제목	내수성 재료 렌더링 방법	A method of rendering water resistant a vermiculite article
해외영업	도소매유통	최근 추세는 항상 상승했어요.	The recent trend has always been upward.
law	대법원판례	손해배상의 예정에 관한 민법 제398조 제2항을 유추 적용하여 위약벌을 감액할 수 있는지 여부(소극)	Whether penalty can be reduced by analogy applying Article 398(2) of the Civil Act on the intention of compensation for damages (negative)
일상생활	여행	그런 것 같아요, 하지만 거기까지 걸어가도 돼요.	I think so, but you can walk your way there.
뉴스	문화,방송_연예	구 씨는 일본의 자피노 사례를 들며 코피노 문제를 대한민국 정부가 직접 나서서 해결해야 된다고 보았다.	Citing the case of Japan's Zapino, Koo said that the Korean government should come forward to resolve the Kopino issue.
일상생활	음식	그런데 진짜 아니야.	But it's really not.
edu_notice	가정통신문	마지막까지 많은 사랑과 격려 부탁드리며 얼마 남지 않은 2019년을 잘 마무리하시고 가정에 늘 건강과 행운이 가득하시길 빕니다.	We ask for your love and encouragement until the end, and I wish you good health and good luck in your family and the successful end of the year 2019.
경제	산업경제	이러한 갈등을 해결하기 위해 한인 진출 기업 협의회나 코참 등 투자 기업 조직뿐만 아니라 대사관을 비롯한 정부 기관과 한인회에서도 중요한 역할을 해야 한다는 기대가 커지고 있다.	To resolve these conflicts, expectations are growing that the Korean American Association should play an important role in investment companies such as the Korean American Business Association and Kocham and the embassy and other government agencies and the Korean Association.
연구평가정보	건강식품류	베타인이 이전에 건조로부터 LAB를 보호하는 것으로 나타났음을 감안할 때, 우리는 BetL이 극한의 온도와 낮은 aW에 세포를 노출시키는 동결 및 분무 건조 동안 락트산간균 살리바리우스 UCC118을 보호할 수 있는지 여부를 조사했다.	Given that betaine has previously been shown to protect LAB from desiccation, we examined whether BetL is capable of protecting L.salivarius UCC118 during freeze- and spray-drying, both of which expose cells to extremes of temperature and low aW.
교육	초중고등교육	정상성을 확보하기 위해 왜도와 첨도의 절대값을 살펴보았다.	In order to ensure normality, the absolute values of skewness and kurtosis were examined.
위해식품정보	축수산물	차단 분석을 최적화하기 위해 우리는 VLP, 첫 번째 및 두 번째 항체, 차단 시약, 다른 공여체의 타액 샘플 패널을 포함하여 분석에 사용된 모든 시약을 적정했다.	To optimize the blocking assays, we titrated all reagents used in the assays, including the VLPs, the first and second antibodies, the blocking reagent, and a panel of saliva samples from different donors.
뉴스	국제,유럽_EU	구출 작전 중 프랑스군은 한국인 1명과 미국인 1명도 억류돼 있는 것을 알게 되고 함께 구출했다.	During the rescue operation, French troops also rescued a South Korean and an American when they found out they were also being held.
글로벌동향정보	가공식품	15일째에 상청액과 2개 세포 부분 샘플을 채집하고 디메틸 설폭사이드-소 태아 혈청에 재현탁한 다음 후속 분석을 위해 80°C에 보관하였다.	Supernatants and two aliquots of cells were harvested at day 15, resuspended in dimethyl sulfoxide-fetal bovine serum, and then stored at 80°C for subsequent analysis.
해외영업	도소매유통	결과적으로 저는 두 번, 또는 세 번 더 사게 될 것입니다.	As a result, I'll be buying twice or thrice as much.
경제	산업경제	2차 세계 전쟁 이후 네덜란드는 어떤 방식으로 전통적인 수출 농업을 '현대화'할 수 있었는가?	How was the Netherlands able to 'modernize' traditional export agriculture after World War II?
의학	내과학	시술 전 호중구 림프구 비율(NLR)은 관상동맥 질환 환자의 부작용과 관련이 있다.	The preprocedural neutrophil lymphocyte ratio (NLR) is related to adverse outcomes in patients with coronary artery disease.
기계	재료공학	현재는 디스플레이 자체에 화면을 표시하면서 투명한 화면을 구현하는 방식으로 개발되고 있다.	Currently, it is being developed by implementing transparent screens while displaying screens on the display itself.
기술과학	빅데이터	콘텐츠 획득 모듈(310)은 서버, 외부 장치로부터 수신된 콘텐츠 또는 기 저장된 콘텐츠를 획득할 수 있다.	The content acquisition module 310 may acquire content received from a server and an external device or pre-stored content.
산업 처리공정 제어장비 제조업	초록	하나 이상의 잔여 정전력에 의하여 척에 고정된 기판을 정전 척으로부터 제거하는 방법에 있어서:(a) 정전 척 분극에 기인한 잔여 부착력을 감소시키는 단계와;(b) 기판이 부착된 척을 플라즈마와, 척과 기판의 표면으로부터의 어떠한 잔여 전하라도 충분히 거의 제거하는 시간 동안 접촉시키는 단계와; 그리고(c) 계속하여, 혹은 단계 (b)와 동시에 척으로부터 기판을 제거하는 단계를 포함하는 방법.또한, 상기 방법을 수행하기 위한 장치가 공개된다.	There is provided a method of dechucking from an electrostatic chuck a substrate held by one or more residual forces to the chuck, the method comprising the steps of (a) reducing a residual chucking force due to the electrostatic chuck polarisation; (b) contracting the chuck with the substrate attached thereto with a plasma for a time sufficient substantially to remove any residual charge from the surface of the substrate and the chuck; and (c) subsequently to, or simultaneously with, step (b) removing the substrate from the chuck. Also disclosed is an apparatus for performing the method.
교육	교육공학	당시의 기억을 떠올리거나 생각을 하면 갑자기 목소리가 커지거나 눈동자를 이리저리 굴리면서 불안해하는 행동을 보였다.	When he recalled or thought about the memory of that time, his voice suddenly became louder or he rolled his eyes and showed anxious behavior.
law	대법원판례	재판상 청구에 의하여 시효를 중단시킬 수 있는 자의 범위.	Scope of persons who can suspend the prescription according to a trial request.
